username,window_start,total_events,event_count,login_events,failed_logins,file_access_count,confidential_file_access,process_count,usb_connections,usb_disconnections,network_connections,unique_network_destinations,after_hours_events,label
Lenovo,2026-08-28T22:00:00,2,2,2,0,0,0,0,0,0,0,0,2,0
Lenovo,2026-08-28T22:30:00,5,5,0,0,5,0,0,0,0,0,0,5,0
Lenovo,2026-08-29T20:00:00,15,15,0,0,2,2,13,0,0,0,0,15,1
Lenovo,2026-08-30T19:30:00,2,2,0,0,0,0,0,2,1,0,0,2,0
Lenovo,2026-08-30T20:00:00,135,135,0,0,0,0,0,0,0,135,86,135,0
SYSTEM,2026-08-28T22:00:00,1,1,1,0,0,0,0,0,0,0,0,1,0
Unknown,2026-08-28T22:00:00,2,2,2,0,0,0,0,0,0,0,0,2,0
employee_a,2026-08-20T22:30:00,29,29,0,0,0,0,29,0,0,0,0,29,0
